0.005t,0.005A,0.01t,0.01A,0.05t,0.05A,0.1t,0.1A,0.2t,0.2A,0.5t,0.5A,1t,1A
1.00,-9.04,1,-9.2,1.00,-8.96,1.00,-7.44,1.00,-5.6,0.10,-5.76,0.10,-6.24
10,-8.08,10,-7.76,3,-7.36,2.00,-5.84,1.5,-4.48,0.2,-5.44,0.2,-4.92
20,-7.28,20,-6.12,5,-5.76,4,-3.44,2,-3.36,0.4,-4.4,0.3,-3.76
30,-6.4,30,-4.76,7,-4.32,6,-0.8,2.5,-2.56,0.6,-3.36,0.4,-2.64
40,-5.6,40,-3.48,10,-2.48,8,1.92,3,-1.36,0.8,-2.48,0.5,-1.6
50,-4.8,50,-2.36,20,3.68,10,3.36,4,1.28,1,-1.52,0.6,-0.76
60,-4.08,60,-0.76,30,6.08,12,4.24,5,2.56,2,2.64,0.7,1.28
70,-3.36,70,1.08,40,7.44,14,5.12,6,3.6,3,4,0.8,2.04
80,-2.64,80,2.08,50,8.32,16,5.76,7,4.24,4,4.8,0.9,2.6
90,-2,90,2.76,60,8.72,18,6.24,8,4.96,5,5.36,1,3.12
100,-1.12,100,3.40,70,8.96,20,6.72,9,5.36,6,5.52,1.5,4.92
110,-0.84,110,4,80,9.12,22,6.96,10,5.76,7,5.76,2,5.76
,,,,90,9.2,,,11,6.16,8,5.84,2.5,6.32
,,,,100,9.20,,,12,6.24,,,3,6.56
