T1 Time (ms),T1 Amplitude (V),T2SE Time (ms) DT:5,T2SE Amplitude ,T2CP Time (ms) DT:5,T2CP Amplitude (V) NP:80,T2MG Time (ms) DT:4,T2MG Amplitude (V) NP:60
1,-6.28,1.5,6,6,4.8,4,4.84
5,-5.2,10,4.28,22,3.72,20,3.68
10,-4.24,20,3.04,36,3,36,2.84
15,-3.36,30,2.24,51,2.48,52,2.48
20,-2.6,40,1.68,66,2.08,68,2.08
25,-1.96,50,1.32,82,1.8,84,1.76
30,-1.24,60,0.88,96,1.6,100,1.44
35,-0.32,70,0.68,110,1.24,116,1.32
40,0.68,80,0.52,126,1.04,132,1.12
45,1.36,90,0.32,140,0.36,148,0.88
50,1.84,,,,,156,0.76
60,2.44,,,,,,
70,2.92,,,,,,
80,3.36,,,,,,
90,3.72,,,,,,
100,4.04,,,,,,
